service_name,pre_2019,pandemic_2020,pct_change,artifact
General Request - SFPD,65,1653,2443.1,True
General Request - ECONOMICS AND WORKFORCE DEVELOPMENT,4,96,2300.0,True
General Request - CONTROLLER,1,18,1700.0,True
General Request - MOH,3,35,1066.7,True
General Request - LABOR STANDARDS ENFORCEMENT,4,30,650.0,True
General Request - RENT BOARD,4,28,600.0,True
General Request - SMALL BUSINESS,9,59,555.6,True
General Request - CHILDREN YOUTH FAMILIES,1,5,400.0,True
General Request - DISTRICT ATTORNEY,6,29,383.3,True
General Request - LIBRARY PUBLIC,3,11,266.7,True
General Request - HSH,28,94,235.7,True
General Request - COUNTY CLERK,49,154,214.3,True
General Request - BOARD OF SUPERVISORS,23,72,213.0,True
General Request - CITY ATTORNEY,4,12,200.0,True
General Request - BUILDING INSPECTION,619,1816,193.4,True
General Request - MOCD,13,35,169.2,True
General Request - TIDA,2,5,150.0,True
General Request - ART COMMISSION,4,10,150.0,True
General Request - HUMAN RESOURCES,10,25,150.0,True
General Request - PLANNING,73,178,143.8,True
General Request - HUMAN SERVICES AGENCY,24,49,104.2,True
General Request - ASSESSOR RECORDER,2,4,100.0,True
General Request - DPH,1447,2680,85.2,True
Noise Report,3872,6980,80.3,False
General Request - MOD,20,36,80.0,True
General Request - OCC,9,15,66.7,True
Residential Building Request,609,926,52.1,False
General Request - CONTRACT ADMINISTRATION,4,6,50.0,True
Illegal Postings,4826,6460,33.9,False
General Request - HUMAN RIGHTS COMMISSION,6,8,33.3,True
Rec and Park Requests,4245,5214,22.8,False
General Request - CITYADMINISTRATOR GSA,19,23,21.1,True
General Request - AGING ADULT SERVICES,5,6,20.0,True
General Request - SHORT TERM RENTALS,13,15,15.4,True
General Request - ANIMAL CARE CONTROL,330,359,8.8,True
SFHA Requests,655,710,8.4,False
Street and Sidewalk Cleaning,122952,132024,7.4,False
General Request - FIRE DEPARTMENT,44,47,6.8,True
311 External Request,323,331,2.5,False
General Request - PUBLIC WORKS,13393,13470,0.6,True
General Request - STATUS OF WOMEN,1,1,0.0,True
General Request - ADULT PROBATION,1,1,0.0,True
General Request - ETHICS COMMISSION,3,3,0.0,True
General Request - ENVIRONMENT,9,9,0.0,True
General Request - REAL ESTATE DEPARTMENT,3,3,0.0,True
Sign Repair,3816,3702,-3.0,False
General Request - DTIS,30,29,-3.3,True
General Request - 311CUSTOMERSERVICECENTER,754,726,-3.7,True
Sewer Issues,4398,4003,-9.0,False
General Request - MONS,113,100,-11.5,True
Graffiti,28713,24753,-13.8,False
Sidewalk or Curb,4121,3500,-15.1,False
Blocked Street or SideWalk,2132,1768,-17.1,False
Streetlights,1765,1445,-18.1,False
Tree Maintenance,5824,4712,-19.1,False
General Request - MTA,4303,3364,-21.8,True
Litter Receptacles,4994,3872,-22.5,False
General Request - AIRPORT SFO,4,3,-25.0,True
Catch Basin Maintenance,173,129,-25.4,False
Parking Enforcement,39260,29036,-26.0,False
General Request - PORT AUTHORITY,50,36,-28.0,True
General Request - PUC,951,676,-28.9,True
Encampments,35558,24030,-32.4,False
General Request - RPD,150,100,-33.3,True
General Request - ENTERTAINMENT COMMISSION,12,8,-33.3,True
General Request - CHILDSUPPORTSERVICES,5,3,-40.0,True
General Request - FILM COMMISSION,5,3,-40.0,True
Damaged Property,4901,2772,-43.4,False
DPW Volunteer Programs,122,66,-45.9,False
Street Defects,4267,2291,-46.3,False
General Request - MEDICAL EXAMINER,2,1,-50.0,True
Temporary Sign Request,782,332,-57.5,False
General Request - CITY HALL,18,7,-61.1,True
General Request - SHERIFF,22,7,-68.2,True
Homeless Concerns,94,27,-71.3,False
General Request - CENTRAL SHOPS,5,1,-80.0,True
Abandoned Vehicle,15822,1556,-90.2,True
MUNI Feedback,11474,598,-94.8,True
General Request - TT COLLECTOR,111,3,-97.3,True
General Request - PUBLIC DEFENDER,1,0,-100.0,True
General Request - WAR MEMORIAL,1,0,-100.0,True
General Request - MOCJ,1,0,-100.0,True
General Request -,0,70,,True
General Request - ELECTIONS,0,19,,True
Muni Employee Feedback,0,2773,,True
Muni Service Feedback,0,2563,,True
